"RFID","Date","Time","Feeder","Antenna","Site"
"01103F5814","05/20/2019","10:33:02","CG2",2,"Campground"
"01103F5814","05/20/2019","10:33:21","CG2",1,"Campground"
"01103F6F8D","05/29/2019","06:48:44","CG2",2,"Campground"
"01103F6F8D","05/29/2019","06:48:48","CG2",1,"Campground"
"01103F7B6C","05/30/2019","14:43:10","CG2",2,"Campground"
"01103F7B6C","06/01/2019","19:40:52","CG2",1,"Campground"
"01103F6F8D","06/03/2019","11:15:38","CG2",2,"Campground"
"01103F6F8D","06/03/2019","11:17:08","CG2",1,"Campground"
"01103F6F8D","06/03/2019","11:17:13","CG2",2,"Campground"
"011016D64A","06/05/2019","07:49:55","CG2",2,"Campground"
"011016D64A","06/05/2019","07:50:04","CG2",2,"Campground"
"011016D64A","06/05/2019","07:50:14","CG2",2,"Campground"
"011016D64A","06/05/2019","07:50:23","CG2",2,"Campground"
"011016D64A","06/05/2019","07:50:32","CG2",2,"Campground"
"011016D64A","06/05/2019","07:50:42","CG2",2,"Campground"
"011016D64A","06/05/2019","09:59:35","CG2",2,"Campground"
"011016D64A","06/05/2019","09:59:49","CG2",2,"Campground"
"011016D64A","06/05/2019","09:59:58","CG2",2,"Campground"
"011016D64A","06/05/2019","10:26:12","CG2",1,"Campground"
"011016D64A","06/05/2019","11:48:13","CG2",1,"Campground"
"011016D64A","06/05/2019","11:48:27","CG2",2,"Campground"
"011016D64A","06/05/2019","12:49:03","CG2",2,"Campground"
"011016D64A","06/05/2019","12:49:12","CG2",2,"Campground"
"011016D64A","06/05/2019","12:49:29","CG2",2,"Campground"
"011016D64A","06/05/2019","13:08:40","CG2",2,"Campground"
"011016D64A","06/05/2019","13:08:53","CG2",2,"Campground"
"011016D64A","06/05/2019","13:09:06","CG2",2,"Campground"
"011016D64A","06/05/2019","13:09:16","CG2",2,"Campground"
"011016D64A","06/05/2019","13:09:27","CG2",2,"Campground"
"011016D64A","06/05/2019","14:26:10","CG2",2,"Campground"
"011016D64A","06/05/2019","14:26:19","CG2",2,"Campground"
"011016D64A","06/05/2019","14:26:27","CG2",2,"Campground"
"011016D64A","06/05/2019","14:26:36","CG2",2,"Campground"
"011016D64A","06/05/2019","14:26:45","CG2",1,"Campground"
