"RFID","Date","Time","Feeder","Antenna","Site"
"01103F686A","07/16/2019","12:36:00","CC4",2,"Dry_Canyon"
"01103F3B06","07/16/2019","14:49:48","CC4",2,"Dry_Canyon"
"01103F3B06","07/16/2019","14:49:57","CC4",2,"Dry_Canyon"
"01103F686A","07/16/2019","14:55:37","CC4",2,"Dry_Canyon"
"01103F686A","07/16/2019","14:55:46","CC4",2,"Dry_Canyon"
"01103F686A","07/16/2019","14:55:55","CC4",1,"Dry_Canyon"
"01103F3B06","07/16/2019","16:29:22","CC4",1,"Dry_Canyon"
"01103F3B06","07/16/2019","16:29:31","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","16:29:40","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","16:29:49","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","16:29:58","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","16:30:07","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","16:30:16","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","16:30:25","CC4",1,"Dry_Canyon"
"01103F3B06","07/16/2019","17:35:18","CC4",1,"Dry_Canyon"
"01103F3B06","07/16/2019","17:35:27","CC4",1,"Dry_Canyon"
"01103F686A","07/16/2019","17:51:24","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","03:34:16","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:37:53","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:03","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:12","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:21","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:30","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:39","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:48","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:38:57","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:39:06","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:39:15","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:39:24","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:39:33","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:39:42","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:39:51","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:40:00","CC4",1,"Dry_Canyon"
"011016E452","07/17/2019","04:40:09","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","05:42:05","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","05:42:14","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","05:42:23","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","06:52:33","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","06:53:04","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","07:08:54","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","07:09:11","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:53:41","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:53:50","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:53:59","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:54:09","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:54:18","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:54:27","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","07:54:36","CC4",1,"Dry_Canyon"
"01103F3B06","07/17/2019","07:58:46","CC4",1,"Dry_Canyon"
"01103F686A","07/17/2019","11:44:31","CC4",2,"Dry_Canyon"
"01103F686A","07/17/2019","13:25:36","CC4",2,"Dry_Canyon"
"01103F686A","07/17/2019","13:26:51","CC4",2,"Dry_Canyon"
"01103F686A","07/17/2019","15:20:49","CC4",1,"Dry_Canyon"
"01103F3B06","07/18/2019","03:16:30","CC4",1,"Dry_Canyon"
"01103F3B06","07/18/2019","03:16:39","CC4",1,"Dry_Canyon"
