"RFID","Date","Time","Feeder","Antenna","Site"
"011016FD64","05/23/2019","14:04:45","BFT1",1,"Kiawah"
"011016FD64","05/23/2019","14:04:51","BFT1",1,"Kiawah"
"0110174730","06/12/2019","11:11:51","BFT1",2,"Kiawah"
"0110174730","06/12/2019","11:11:55","BFT1",2,"Kiawah"
"0110174730","06/13/2019","10:47:35","BFT1",1,"Kiawah"
"0110174730","06/13/2019","10:47:59","BFT1",2,"Kiawah"
"0110174730","06/13/2019","10:48:15","BFT1",1,"Kiawah"
"0110174730","06/13/2019","10:48:25","BFT1",2,"Kiawah"
"0110174730","06/13/2019","11:14:20","BFT1",1,"Kiawah"
"0110174730","06/13/2019","11:14:34","BFT1",2,"Kiawah"
"0110174730","06/13/2019","12:37:49","BFT1",2,"Kiawah"
"0110174730","06/13/2019","12:39:04","BFT1",1,"Kiawah"
"0110174730","06/13/2019","12:39:18","BFT1",2,"Kiawah"
"0110170A5E","06/14/2019","17:33:33","BFT1",2,"Kiawah"
"0110170A5E","06/15/2019","09:27:10","BFT1",2,"Kiawah"
"0110170A5E","06/15/2019","09:27:26","BFT1",2,"Kiawah"
"0110170A5E","06/15/2019","09:27:35","BFT1",2,"Kiawah"
"0110170A5E","06/15/2019","09:27:45","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","14:56:55","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","14:57:33","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","14:57:43","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","14:57:52","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:01:26","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:01:35","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:01:44","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:01:53","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:02:02","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:02:11","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:02:20","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:02:29","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:02:39","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","15:02:48","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:35:15","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:35:24","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:35:34","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:35:43","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:35:52","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:01","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:10","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:19","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:28","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:37","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:47","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:36:56","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:37:05","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:37:14","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:37:23","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:37:32","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:37:41","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:37:50","BFT1",2,"Kiawah"
"01103F68AE","06/15/2019","16:38:00","BFT1",2,"Kiawah"
