"RFID","Date","Time","Feeder","Antenna","Site"
"0110173A0E","06/10/2019","09:59:42","LSSI2",1,"LSSI"
"0110173A0E","06/10/2019","09:59:45","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:32:39","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:32:50","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:00","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:08","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:17","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:27","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:36","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:45","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:33:54","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:34:03","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:34:14","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:34:23","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:34:32","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:34:42","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:34:51","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:35:00","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:35:09","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:35:18","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:35:28","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:35:37","LSSI2",2,"LSSI"
"011016FBAB","06/10/2019","14:38:15","LSSI2",2,"LSSI"
"0110174D38","06/10/2019","17:19:16","LSSI2",2,"LSSI"
"0110174D38","06/10/2019","17:19:36","LSSI2",2,"LSSI"
"0110174D38","06/10/2019","17:19:47","LSSI2",2,"LSSI"
"0110174D38","06/10/2019","17:19:57","LSSI2",2,"LSSI"
"0110174D38","06/10/2019","17:20:06","LSSI2",2,"LSSI"
"0110174D38","06/10/2019","17:20:15","LSSI2",2,"LSSI"
