"RFID","Date","Time","Feeder","Antenna","Site"
"011016CCF8","06/04/2019","09:08:25","Basara",1,"Spring_Island"
"011016CCF8","06/04/2019","09:08:30","Basara",2,"Spring_Island"
"011016CCF8","06/04/2019","09:28:13","Basara",1,"Spring_Island"
"011016CCF8","06/04/2019","09:28:21","Basara",2,"Spring_Island"
"011016CCF8","06/04/2019","09:31:20","Basara",1,"Spring_Island"
"01103F72A5","06/15/2019","19:51:05","Basara",1,"Spring_Island"
"01103F72A5","06/15/2019","19:51:42","Basara",1,"Spring_Island"
"01103F72A5","06/15/2019","19:51:58","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:10:55","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:11:10","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:11:26","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:11:41","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:11:56","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:12:12","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:12:28","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:12:43","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:12:58","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:13:13","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:13:28","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:13:44","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","06:13:59","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","07:05:53","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","07:06:08","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","07:06:31","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","07:06:46","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","07:08:03","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","09:56:15","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","09:56:30","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","09:56:45","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","09:57:01","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","09:58:55","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","09:59:11","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:07:01","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:07:16","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:07:31","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:09:25","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:09:46","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:10:01","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","11:10:16","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:10:42","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:10:57","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:11:12","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:11:28","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:11:43","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:12:00","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:12:17","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:12:38","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:12:53","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:13:09","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:13:24","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:13:39","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:13:55","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","13:14:10","Basara",2,"Spring_Island"
"01103F4F15","06/16/2019","14:43:06","Basara",1,"Spring_Island"
"01103F4F15","06/16/2019","14:43:12","Basara",2,"Spring_Island"
"01103F4F15","06/16/2019","14:43:23","Basara",1,"Spring_Island"
"01103F4F15","06/16/2019","14:43:31","Basara",2,"Spring_Island"
"01103F4F15","06/16/2019","14:43:44","Basara",1,"Spring_Island"
"01103F4F15","06/16/2019","14:43:53","Basara",2,"Spring_Island"
"01103F4F15","06/16/2019","14:44:23","Basara",1,"Spring_Island"
"01103F4F15","06/16/2019","14:44:30","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","15:26:04","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","15:26:26","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","15:27:01","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","15:27:32","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","15:28:06","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","15:28:33","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:45:51","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:46:06","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:46:21","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:46:37","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:46:52","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:47:07","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:47:23","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:47:38","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:47:53","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:48:09","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:48:24","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:48:39","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:48:55","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:49:10","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:49:25","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:49:41","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:49:56","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:50:11","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:50:26","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","19:50:41","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","20:09:56","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","20:10:14","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","20:10:56","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","20:11:14","Basara",1,"Spring_Island"
"01103F6F8A","06/16/2019","20:11:51","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","07:04:52","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:05:10","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:05:25","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:05:40","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:05:56","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:06:11","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:06:26","Basara",2,"Spring_Island"
"01103F6F8A","06/17/2019","07:06:41","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","08:07:30","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","08:08:00","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","08:08:15","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","10:18:53","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","10:19:08","Basara",1,"Spring_Island"
"01103F6F8A","06/17/2019","20:28:12","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","08:54:33","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","08:54:49","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","08:55:52","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","08:56:15","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","09:44:47","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","09:45:41","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","09:46:02","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","10:31:00","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","11:17:42","Basara",2,"Spring_Island"
"01103F6F8A","06/18/2019","12:43:10","Basara",2,"Spring_Island"
"01103F6F8A","06/18/2019","12:44:06","Basara",2,"Spring_Island"
"01103F6F8A","06/18/2019","12:44:21","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:13:10","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:28:57","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:29:16","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:29:40","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:30:46","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:31:02","Basara",1,"Spring_Island"
"01103F6F8A","06/18/2019","17:31:17","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","07:39:08","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","07:39:23","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","07:39:38","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","07:39:54","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","07:40:11","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","07:40:28","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","09:45:31","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","09:45:48","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","09:46:03","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","09:46:18","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","09:46:37","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","20:36:25","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","20:38:44","Basara",1,"Spring_Island"
"01103F6F8A","06/19/2019","20:38:59","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","08:27:43","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","08:27:58","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","08:28:19","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","08:28:41","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","09:37:56","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","09:38:12","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","09:38:27","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","09:38:42","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","10:18:47","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","10:19:02","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","10:19:27","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","11:45:57","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","11:46:12","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","11:46:42","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","11:47:05","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:40:57","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:41:12","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:41:27","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:41:43","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:41:58","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:42:15","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:42:30","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:42:45","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:43:01","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:43:16","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:43:36","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","15:43:51","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:11:20","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:11:52","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:12:09","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:12:24","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:24:24","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:25:54","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","17:26:10","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","20:17:18","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","20:19:06","Basara",1,"Spring_Island"
"01103F6F8A","06/20/2019","20:21:26","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","07:02:36","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","09:03:43","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","09:04:00","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","09:04:17","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","09:04:33","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","09:04:49","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","11:55:27","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","11:55:42","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","11:55:57","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","11:56:13","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","12:48:10","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","13:38:17","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","13:39:02","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","13:39:18","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","15:33:31","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","16:47:39","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","16:48:06","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","16:48:28","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","16:48:46","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","16:49:06","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","16:49:21","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","17:08:16","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","17:37:56","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","17:38:33","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","17:38:53","Basara",1,"Spring_Island"
"01103F6F8A","06/21/2019","17:39:09","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","08:29:41","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","08:29:59","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","09:36:57","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","09:37:31","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","10:12:03","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","10:12:25","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","10:12:40","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","16:13:06","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","16:13:31","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","16:13:48","Basara",1,"Spring_Island"
"01103F6F8A","06/22/2019","16:14:05","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","07:10:27","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:42:33","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:42:58","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:43:36","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:43:53","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:44:09","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:44:24","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:44:41","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","08:44:56","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","12:19:32","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","12:19:47","Basara",1,"Spring_Island"
"01103F6F8A","06/23/2019","12:20:03","Basara",1,"Spring_Island"
