"RFID","Date","Time","Feeder","Antenna","Site","Week","Month"
"01103F8146",2019-05-29,8H 46M 56S,"BH1",2,"BHI",22,5
"01103F8146",2019-05-29,8H 47M 14S,"BH1",2,"BHI",22,5
"01103F8146",2019-05-29,8H 47M 47S,"BH1",2,"BHI",22,5
"01103F8146",2019-05-29,8H 48M 3S,"BH1",2,"BHI",22,5
"01103F8146",2019-05-29,8H 48M 19S,"BH1",2,"BHI",22,5
"01103F8146",2019-05-29,8H 48M 35S,"BH1",1,"BHI",22,5
"01103F4440",2019-05-31,20H 25M 9S,"BH1",1,"BHI",22,5
"01103F8146",2019-06-01,9H 52M 40S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-01,11H 47M 4S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,14H 26M 3S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,14H 26M 19S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,14H 26M 35S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,16H 48M 42S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,16H 48M 58S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,16H 49M 14S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,16H 49M 30S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 32M 59S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 33M 15S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 33M 31S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 33M 47S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 34M 3S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 41M 41S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 42M 0S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 42M 16S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-01,20H 42M 32S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,6H 59M 51S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,7H 0M 16S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,7H 0M 32S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,7H 0M 48S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,7H 1M 4S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,7H 1M 20S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 48M 18S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 48M 34S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 48M 50S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 49M 6S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 49M 23S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 49M 39S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 49M 55S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,8H 50M 11S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-02,15H 20M 49S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-02,15H 21M 19S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-02,15H 21M 56S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-02,15H 22M 21S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-02,15H 22M 38S,"BH1",1,"BHI",22,6
"01103F4440",2019-06-02,15H 22M 54S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,16H 53M 59S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,16H 54M 16S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,16H 54M 41S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,16H 54M 59S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,16H 55M 15S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,16H 55M 31S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,18H 3M 27S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,18H 3M 43S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,19H 58M 57S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,19H 59M 20S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,19H 59M 35S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,19H 59M 54S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,20H 0M 13S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,20H 0M 29S,"BH1",2,"BHI",22,6
"01103F4440",2019-06-02,20H 0M 45S,"BH1",2,"BHI",22,6
